Option,Hazards,Assets,Action Type,Sub-Action Type,Source Plan,URL,Toolkit Case Study
"72 hour resilience for all city infrastructure: generator, supplies and storage, points of relocation for ops and loc center, training for all city departments about our response.",Flooding – Rainfall-induced,Critical Facilities,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""","Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
"Accelerate adoption of distributed renewable energy systems, electrification and microgrids. ",Extreme Heat,Energy and Utilities,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""","Missoula, MT Regional Adaptation Strategy",https://www.climatereadymissoula.org/uploads/1/2/6/6/126687164/revisedclimatereadymissoula_2.22.20.pdf,https://toolkit.climate.gov/case-studies/missoula-mt-regional-adaptation-strategy-0
Account for projected changes in precipitation and sea level rise in water and water infrastructure planning. ,"Flooding – Coastal,Flooding – General","Water Infrastructure – Drinking Water,Water Infrastructure – General,Water Infrastructure – Stormwater",Planning & Management,Planning,Climate Resilient San Diego,https://www.sandiego.gov/sites/default/files/crsd_final_plan_with_appendices.pdf,https://toolkit.climate.gov/case-studies/climate-resilient-san-diego-1
Acquire appropriate flood response assets for public safety.,Flooding – Rainfall-induced,Critical Facilities,Preparedness & Response,Emergency Management,"Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
"Across municipal operations, track water use and analyze trends at the building level. Reducing water use can prevent or alleviate drought impacts. Consider creating a dashboard to educate staff on water use and encourage water conservation.",Drought,"Water Infrastructure – Drinking Water,Property",Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Clark County, Nevada, Community Sustainability & Climate Action Plan",https://kladashboard-clientsourcefiles.s3.amazonaws.com/ClarkCounty/April2023FinalPlan/CC_CAP_2023.pdf,https://toolkit.climate.gov/case-studies/clark-county-nevada-community-sustainability-climate-action-plan-1
Add capacity to water supply Reservoir and determine viability and cost effectiveness,Drought,Water Infrastructure – Drinking Water,Capital Improvements - Green & Gray Infrastructure,Water Infrastructure,"Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
Add continuous deflection separation units where necessary to the sewer system across the jurisdiction to prevent major debris from contaminating water systems. ,Water Quality,"Water Infrastructure – Drinking Water,Water Infrastructure – General,Water Infrastructure – Stormwater",Capital Improvements - Green & Gray Infrastructure,Wastewater Infrastructure,"Spearfish, SD Climate Resiliency Plan",https://www.bhsu.edu/Faculty-Staff/Campus-Services/Facilities-Services/Sustainability/_docs/climate-resiliency-plan-2020.pdf,https://toolkit.climate.gov/case-studies/spearfish-sd-climate-resiliency-plan-0
"Add or increase local freeboard requirements in the flood ordinance so that all housing, household utilities and public facilities are built or rehabilitated to at least four feet above the base flood elevation (BFE) for a 100-year storm in coastal counties and two feet above the BFE for a 100-year storm in the remaining counties. ",Flooding – General,Property,"""Policy, Codes, & Standards""",Building Codes,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Add or update a list of nuisance vegetation and invasive species in the municipal code. ,"""Shifting Species, Habitats, and Ecosystems""","Aquatic and Marine Resources,Natural Areas and Wildlife","""Policy, Codes, & Standards""",Building Codes,"Adapt Oklahoma City, OK",https://www.okc.gov/home/showpublisheddocument/18882/637299972915330000,https://toolkit.climate.gov/case-studies/adapt-oklahoma-city-ok-0
Address flood-prone roads by installing green stormwater practices. ,"Flooding – General,Flooding – Rainfall-induced","Transportation and Mobility,Water Infrastructure – Stormwater",Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""","Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
